id;monthly_import_shipment;monthly_export_shipment;shipment_value;product_info
1;web services;Industrial Designer Incredible Fresh Car;Principal Senior;Paraguay
2;Sleek Tuna magenta;Wells;Naira iterate;Unbranded Plastic Chips Brand Regional
3;Generic B2B;olive;facilitate Persevering;Fantastic
4;zero defect Ridges Beauty;groupware;Credit Card Account clear-thinking Frozen;parsing
5;models New Mexico District;Accountability;Aruba Chair portals;online Strategist Shirt
6;navigate redefine;generating bypassing Bypass;Plastic Movies;SMS
7;Zimbabwe parse Customer;input Accounts;enhance Multi-channelled purple;Response
8;white SMTP;Checking Account global Steel;Borders Springs connecting;SAS
9;Planner Refined;engage Granite Grocery;bluetooth payment digital;Rubber Industrial seamless
10;withdrawal Jamaica;International;Luxembourg Spurs;empower Home Loan Account SMS
